locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
14211	NP_414607.1	16128059	7023	71351	72115	+	b0065	yabI	conserved inner membrane protein (NCBI)	COG586	S	Uncharacterized membrane-associated protein					
14212	NP_414608.1	16128060	7023	72927	72229	-	b0066	thiQ	thiamin transporter subunit (NCBI)	COG3840	H	ABC-type thiamine transport system, ATPase component	TIGR01277 thiamine ABC transporter, ATP-binding protein [thiQ]	Transport and binding proteins:Other	GO:0006810,GO:0009276,GO:0005524,GO:0042626		
14213	NP_414609.1	16128061	7023	74521	72911	-	b0067	thiP	thiamin ABC transporter membrane protein (NCBI)	COG1178	P	ABC-type Fe3+ transport system, permease component	TIGR01253 thiamine/thiamine pyrophosphate ABC transporter, permease protein [thiP]	Transport and binding proteins:Other	GO:0006810,GO:0009276,GO:0016021,GO:0005215		
14214	NP_414610.1	16128062	7023	75480	74497	-	b0068	tbpA	thiamin transporter subunit (NCBI)	COG4143	H	ABC-type thiamine transport system, periplasmic component	TIGR01254 ABC transporter periplasmic binding protein, thiB subfamily,TIGR01276 thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein [thiB]	Transport and binding proteins:Other	GO:0006810,GO:0030288,GO:0005524,GO:0042626		
14215	NP_414611.1	16128063	7023	77299	75644	-	b0069	sgrR	DNA-binding transcriptional regulator (NCBI)	COG4533	R	ABC-type uncharacterized transport system, periplasmic component			GO:0006810,GO:0005215		
1936206			7023	77367	77593	+	b4577	sgrS	small antisense RNA (NCBI)								
7497338	YP_002791237.1	226524697	7023	77388	77519	+	b4662	sgrT	Inhibitor of glucose uptake (RefSeq)								
1936207	YP_025293.1	49175994	7023	77621	78799	+	b0070	setA	broad specificity sugar efflux system (NCBI)	COG2814	G	Arabinose efflux permease	TIGR00899 sugar efflux transporter	Transport and binding proteins:Carbohydrates, organic alcohols, and acids	GO:0008643,GO:0016021,GO:0015542		
14217	NP_414613.1	16128065	7023	79453	78848	-	b0071	leuD	isopropylmalate isomerase small subunit (NCBI)	COG66	E	3-isopropylmalate dehydratase small subunit	TIGR00171 3-isopropylmalate dehydratase, small subunit [leuD]	Amino acid biosynthesis:Pyruvate family	GO:0009098,GO:0009316,GO:0003861,GO:0047508	4.2.1.33,4.2.1.35	3-isopropylmalate dehydratase.,(R)-2-methylmalate dehydratase.
14218	NP_414614.1	16128066	7023	80864	79464	-	b0072	leuC	isopropylmalate isomerase large subunit (NCBI)	COG65	E	3-isopropylmalate dehydratase large subunit	TIGR00170 3-isopropylmalate dehydratase, large subunit [leuC]	Amino acid biosynthesis:Pyruvate family	GO:0009098,GO:0009316,GO:0003861,GO:0051539,GO:0047508	4.2.1.33,4.2.1.35	3-isopropylmalate dehydratase.,(R)-2-methylmalate dehydratase.
14219	NP_414615.4	90111082	7023	81958	80867	-	b0073	leuB	3-isopropylmalate dehydrogenase (VIMSS)	COG473	CE	Isocitrate/isopropylmalate dehydrogenase	TIGR00169 3-isopropylmalate dehydrogenase [leuB]	Amino acid biosynthesis:Pyruvate family	GO:0009098,GO:0005737,GO:0003862	1.1.1.85	3-isopropylmalate dehydrogenase.
14220	NP_414616.1	16128068	7023	83529	81958	-	b0074	leuA	2-isopropylmalate synthase (NCBI)	COG119	E	Isopropylmalate/homocitrate/citramalate synthases	TIGR00973 2-isopropylmalate synthase [leuA]	Amino acid biosynthesis:Pyruvate family	GO:0009098,GO:0003852	2.3.3.13	2-isopropylmalate synthase.
14221	NP_414617.1	16128069	7023	83708	83622	-	b0075	leuL	leu operon leader peptide (NCBI)						GO:0009098		
14222	NP_414618.4	90111083	7023	84368	85312	+	b0076	leuO	probable transcriptional activator for leuABCD operon (VIMSS)	COG583	K	Transcriptional regulator			GO:0006355,GO:0003700		
1936210	YP_025294.2	90111084	7023	85630	87354	+	b0077	ilvI	acetolactate synthase III large subunit (NCBI)	COG28	EH	Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]	TIGR00118 acetolactate synthase, large subunit, biosynthetic type [ilvB]	Amino acid biosynthesis:Pyruvate family	GO:0009082,GO:0000287,GO:0050660,GO:0003984,GO:0030976	2.2.1.6	Acetolactate synthase.
14224	NP_414620.1	16128071	7023	87357	87848	+	b0078	ilvH	acetolactate synthase small subunit (NCBI)	COG440	E	Acetolactate synthase, small (regulatory) subunit	TIGR00119 acetolactate synthase, small subunit [ilvN]	Amino acid biosynthesis:Pyruvate family	GO:0009082,GO:0003984,GO:0016597	2.2.1.6	Acetolactate synthase.
14226	NP_414622.1	16128073	7023	88028	89032	+	b0080	fruR	DNA-binding transcriptional dual regulator (NCBI)	COG1609	K	Transcriptional regulators	TIGR02417 D-fructose-responsive transcription factor	Regulatory functions:DNA interactions	GO:0006355,GO:0009750,GO:0005622,GO:0003700		
14227	NP_414623.1	16128074	7023	89634	90092	+	b0081	mraZ	hypothetical protein (NCBI)	COG2001	S	Uncharacterized protein conserved in bacteria	TIGR00242 protein MraZ [mraZ]	Unknown function:General			
14228	NP_414624.1	16128075	7023	90094	91035	+	b0082	mraW	S-adenosyl-methyltransferase (NCBI)	COG275	M	Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis	TIGR00006 S-adenosyl-methyltransferase MraW [mraW]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0008168	2.1.1.-	
14229	NP_414625.1	16128076	7023	91032	91397	+	b0083	ftsL	membrane bound cell division protein at septum containing leucine zipper motif (NCBI)	COG3116	D	Cell division protein	TIGR02209 cell division protein FtsL [ftsL]	Cellular processes:Cell division	GO:0007049,GO:0051301,GO:0016021		
14230	NP_414626.1	16128077	7023	91413	93179	+	b0084	ftsI	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3) (NCBI)	COG768	M	Cell division protein FtsI/penicillin-binding protein 2			GO:0009273,GO:0008658,GO:0008955	2.4.1.129	Peptidoglycan glycosyltransferase.
14231	NP_414627.1	16128078	7023	93166	94653	+	b0085	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase (NCBI)	COG769	M	UDP-N-acetylmuramyl tripeptide synthase	TIGR01085 UDP-N-acetylmuramyl-tripeptide synthetase [murE]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0009252,GO:0051301,GO:0008360,GO:0005737,GO:0005524,GO:0008765	6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase.
14232	NP_414628.1	16128079	7023	94650	96008	+	b0086	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase (NCBI)	COG770	M	UDP-N-acetylmuramyl pentapeptide synthase	TIGR01143 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [murF]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0009252,GO:0008360,GO:0051301,GO:0005737,GO:0005524,GO:0047480,GO:0008766	6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase.
14233	NP_414629.1	16128080	7023	96002	97084	+	b0087	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase (NCBI)	COG472	M	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase	TIGR00445 phospho-N-acetylmuramoyl-pentapeptide-transferase [mraY]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0009252,GO:0016021,GO:0008963	2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase.
14234	NP_414630.1	16128081	7023	97087	98403	+	b0088	murD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamatesynthetase (NCBI)	COG771	M	UDP-N-acetylmuramoylalanine-D-glutamate ligase	TIGR01087 UDP-N-acetylmuramoylalanine--D-glutamate ligase [murD]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0009252,GO:0008360,GO:0051301,GO:0005737,GO:0005524,GO:0031177,GO:0008764	6.3.2.9	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase.
14235	NP_414631.1	16128082	7023	98403	99647	+	b0089	ftsW	integral membrane protein involved in stabilizing FstZ ring during cell division (NCBI)	COG772	D	Bacterial cell division membrane protein	TIGR02614 cell division protein FtsW [ftsW]	Cellular processes:Cell division	GO:0007049,GO:0009252,GO:0051301,GO:0016021		
14236	NP_414632.1	16128083	7023	99644	100711	+	b0090	murG	N-acetylglucosaminyl transferase (NCBI)	COG707	M	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase	TIGR01133 undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [murG]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0019277,GO:0030259,GO:0009276,GO:0050511,GO:0030246	2.4.1.227	acetylglucosaminyltransferase.
14237	NP_414633.1	16128084	7023	100765	102240	+	b0091	murC	UDP-N-acetylmuramate--L-alanine ligase (NCBI)	COG773	M	UDP-N-acetylmuramate-alanine ligase	TIGR01082 UDP-N-acetylmuramate--alanine ligase [murC]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0009252,GO:0051301,GO:0008360,GO:0005737,GO:0005524,GO:0008763	6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase.
14238	NP_414634.1	16128085	7023	102233	103153	+	b0092	ddlB	D-alanylalanine synthetase (NCBI)	COG1181	M	D-alanine-D-alanine ligase and related ATP-grasp enzymes	TIGR01205 D-alanine--D-alanine ligase	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0009252,GO:0005618,GO:0005737,GO:0005524,GO:0008716	6.3.2.4	D-alanine--D-alanine ligase.
14239	NP_414635.1	16128086	7023	103155	103985	+	b0093	ftsQ	membrane anchored protein involved in growth of wall at septum (NCBI)	COG1589	M	Cell division septal protein					
14240	NP_414636.1	16128087	7023	103982	105244	+	b0094	ftsA	cell division protein (NCBI)	COG849	D	Actin-like ATPase involved in cell division	TIGR01174 cell division protein FtsA [ftsA]	Cellular processes:Cell division	GO:0000902,GO:0007049,GO:0005524		
14241	NP_414637.1	16128088	7023	105305	106456	+	b0095	ftsZ	cell division protein FtsZ (NCBI)	COG206	D	Cell division GTPase	TIGR00065 cell division protein FtsZ [ftsZ]	Cellular processes:Cell division	GO:0051258,GO:0005737,GO:0043234,GO:0003924,GO:0005525		
14242	NP_414638.1	16128089	7023	106557	107474	+	b0096	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (NCBI)	COG774	M	UDP-3-O-acyl-N-acetylglucosamine deacetylase	TIGR00325 UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [lpxC]	Cell envelope:Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	GO:0009245,GO:0008759	3.5.1.-	
14243	NP_414639.2	90111085	7023	107705	108217	+	b0097	yacA	orf, hypothetical protein (VIMSS)						GO:0045182		
14244	NP_414640.1	16128091	7023	108279	110984	+	b0098	secA	translocase (NCBI)	COG653	U	Preprotein translocase subunit SecA (ATPase, RNA helicase)	TIGR00963 preprotein translocase, SecA subunit [secA]	Protein fate:Protein and peptide secretion and trafficking	GO:0006605,GO:0017038,GO:0016020,GO:0004386,GO:0003676,GO:0005515,GO:0005524		
14245	NP_414641.1	16128092	7023	111044	111433	+	b0099	mutT	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP (NCBI)	COG1051	F	ADP-ribose pyrophosphatase	TIGR00586 mutator mutT protein	DNA metabolism:DNA replication, recombination, and repair	GO:0006281,GO:0008413	3.6.1.-	
